30,
200000, 360, -0.01,
200600, 295, -0.01,
1,1600.0,20.0,20.0,
1,1600.0,20.0,60.0,
1,1600.0,20.0,100.0,
1,1600.0,20.0,140.0,
1,1600.0,20.0,180.0,
1,1600.0,20.0,220.0,
1,1600.0,20.0,260.0,
1,1600.0,20.0,300.0,
1,1600.0,20.0,340.0,
1,1600.0,20.0,380.0,
1,1600.0,20.0,420.0,
1,1600.0,20.0,460.0,
1,1600.0,20.0,500.0,
1,1600.0,20.0,540.0,
1,1600.0,20.0,580.0,
1,1600.0,20.0,620.0,
1,1600.0,20.0,660.0,
1,1600.0,20.0,700.0,
1,1600.0,20.0,740.0,
1,1600.0,20.0,780.0,
1,1600.0,60.0,20.0,
1,1600.0,60.0,60.0,
1,1600.0,60.0,100.0,
1,1600.0,60.0,140.0,
1,1600.0,60.0,180.0,
1,1600.0,60.0,220.0,
1,1600.0,60.0,260.0,
1,1600.0,60.0,300.0,
1,1600.0,60.0,340.0,
1,1600.0,60.0,380.0,
1,1600.0,60.0,420.0,
1,1600.0,60.0,460.0,
1,1600.0,60.0,500.0,
1,1600.0,60.0,540.0,
1,1600.0,60.0,580.0,
1,1600.0,60.0,620.0,
1,1600.0,60.0,660.0,
1,1600.0,60.0,700.0,
1,1600.0,60.0,740.0,
1,1600.0,60.0,780.0,
1,1600.0,100.0,20.0,
1,1600.0,100.0,60.0,
1,1600.0,100.0,100.0,
1,1600.0,100.0,140.0,
1,1600.0,100.0,180.0,
1,1600.0,100.0,220.0,
1,1600.0,100.0,260.0,
1,1600.0,100.0,300.0,
1,1600.0,100.0,340.0,
1,1600.0,100.0,380.0,
1,1600.0,100.0,420.0,
1,1600.0,100.0,460.0,
1,1600.0,100.0,500.0,
1,1600.0,100.0,540.0,
1,1600.0,100.0,580.0,
1,1600.0,100.0,620.0,
1,1600.0,100.0,660.0,
1,1600.0,100.0,700.0,
1,1600.0,100.0,740.0,
1,1600.0,100.0,780.0,
1,1600.0,140.0,20.0,
1,1600.0,140.0,60.0,
1,1600.0,140.0,100.0,
1,1600.0,140.0,140.0,
1,1600.0,140.0,180.0,
1,1600.0,140.0,220.0,
1,1600.0,140.0,260.0,
1,1600.0,140.0,300.0,
1,1600.0,140.0,340.0,
1,1600.0,140.0,380.0,
1,1600.0,140.0,420.0,
1,1600.0,140.0,460.0,
1,1600.0,140.0,500.0,
1,1600.0,140.0,540.0,
1,1600.0,140.0,580.0,
1,1600.0,140.0,620.0,
1,1600.0,140.0,660.0,
1,1600.0,140.0,700.0,
1,1600.0,140.0,740.0,
1,1600.0,140.0,780.0,
1,1600.0,180.0,20.0,
1,1600.0,180.0,60.0,
1,1600.0,180.0,100.0,
1,1600.0,180.0,140.0,
1,1600.0,180.0,180.0,
1,1600.0,180.0,220.0,
1,1600.0,180.0,260.0,
1,1600.0,180.0,300.0,
1,1600.0,180.0,340.0,
1,1600.0,180.0,380.0,
1,1600.0,180.0,420.0,
1,1600.0,180.0,460.0,
1,1600.0,180.0,500.0,
1,1600.0,180.0,540.0,
1,1600.0,180.0,580.0,
1,1600.0,180.0,620.0,
1,1600.0,180.0,660.0,
1,1600.0,180.0,700.0,
1,1600.0,180.0,740.0,
1,1600.0,180.0,780.0,
1,1600.0,220.0,20.0,
1,1600.0,220.0,60.0,
1,1600.0,220.0,100.0,
1,1600.0,220.0,140.0,
1,1600.0,220.0,180.0,
1,1600.0,220.0,220.0,
1,1600.0,220.0,260.0,
1,1600.0,220.0,300.0,
1,1600.0,220.0,340.0,
1,1600.0,220.0,380.0,
1,1600.0,220.0,420.0,
1,1600.0,220.0,460.0,
1,1600.0,220.0,500.0,
1,1600.0,220.0,540.0,
1,1600.0,220.0,580.0,
1,1600.0,220.0,620.0,
1,1600.0,220.0,660.0,
1,1600.0,220.0,700.0,
1,1600.0,220.0,740.0,
1,1600.0,220.0,780.0,
1,1600.0,260.0,20.0,
1,1600.0,260.0,60.0,
1,1600.0,260.0,100.0,
1,1600.0,260.0,140.0,
1,1600.0,260.0,180.0,
1,1600.0,260.0,220.0,
1,1600.0,260.0,260.0,
1,1600.0,260.0,300.0,
1,1600.0,260.0,340.0,
1,1600.0,260.0,380.0,
1,1600.0,260.0,420.0,
1,1600.0,260.0,460.0,
1,1600.0,260.0,500.0,
1,1600.0,260.0,540.0,
1,1600.0,260.0,580.0,
1,1600.0,260.0,620.0,
1,1600.0,260.0,660.0,
1,1600.0,260.0,700.0,
1,1600.0,260.0,740.0,
1,1600.0,260.0,780.0,
1,1600.0,300.0,20.0,
1,1600.0,300.0,60.0,
1,1600.0,300.0,100.0,
1,1600.0,300.0,140.0,
1,1600.0,300.0,180.0,
1,1600.0,300.0,220.0,
1,1600.0,300.0,260.0,
1,1600.0,300.0,300.0,
1,1600.0,300.0,340.0,
1,1600.0,300.0,380.0,
1,1600.0,300.0,420.0,
1,1600.0,300.0,460.0,
1,1600.0,300.0,500.0,
1,1600.0,300.0,540.0,
1,1600.0,300.0,580.0,
1,1600.0,300.0,620.0,
1,1600.0,300.0,660.0,
1,1600.0,300.0,700.0,
1,1600.0,300.0,740.0,
1,1600.0,300.0,780.0,
1,1600.0,340.0,20.0,
1,1600.0,340.0,60.0,
1,1600.0,340.0,100.0,
1,1600.0,340.0,140.0,
1,1600.0,340.0,180.0,
1,1600.0,340.0,220.0,
1,1600.0,340.0,260.0,
1,1600.0,340.0,300.0,
1,1600.0,340.0,340.0,
1,1600.0,340.0,380.0,
1,1600.0,340.0,420.0,
1,1600.0,340.0,460.0,
1,1600.0,340.0,500.0,
1,1600.0,340.0,540.0,
1,1600.0,340.0,580.0,
1,1600.0,340.0,620.0,
1,1600.0,340.0,660.0,
1,1600.0,340.0,700.0,
1,1600.0,340.0,740.0,
1,1600.0,340.0,780.0,
1,1600.0,380.0,20.0,
1,1600.0,380.0,60.0,
1,1600.0,380.0,100.0,
1,1600.0,380.0,140.0,
1,1600.0,380.0,180.0,
1,1600.0,380.0,220.0,
1,1600.0,380.0,260.0,
1,1600.0,380.0,300.0,
1,1600.0,380.0,340.0,
