50,
200000, 360, -0.01,
200600, 295, -0.01,
1,39600.0,20.0,495.0,
1,39600.0,20.0,1485.0,
1,39600.0,20.0,2475.0,
1,39600.0,20.0,3465.0,
1,39600.0,20.0,4455.0,
1,39600.0,20.0,5445.0,
1,39600.0,20.0,6435.0,
1,39600.0,20.0,7425.0,
1,39600.0,20.0,8415.0,
1,39600.0,20.0,9405.0,
1,39600.0,60.0,495.0,
1,39600.0,60.0,1485.0,
1,39600.0,60.0,2475.0,
1,39600.0,60.0,3465.0,
1,39600.0,60.0,4455.0,
1,39600.0,60.0,5445.0,
1,39600.0,60.0,6435.0,
1,39600.0,60.0,7425.0,
1,39600.0,60.0,8415.0,
1,39600.0,60.0,9405.0,
1,39600.0,100.0,495.0,
1,39600.0,100.0,1485.0,
1,39600.0,100.0,2475.0,
1,39600.0,100.0,3465.0,
1,39600.0,100.0,4455.0,
1,39600.0,100.0,5445.0,
1,39600.0,100.0,6435.0,
1,39600.0,100.0,7425.0,
1,39600.0,100.0,8415.0,
1,39600.0,100.0,9405.0,
1,39600.0,140.0,495.0,
1,39600.0,140.0,1485.0,
1,39600.0,140.0,2475.0,
1,39600.0,140.0,3465.0,
1,39600.0,140.0,4455.0,
1,39600.0,140.0,5445.0,
1,39600.0,140.0,6435.0,
1,39600.0,140.0,7425.0,
1,39600.0,140.0,8415.0,
1,39600.0,140.0,9405.0,
1,39600.0,180.0,495.0,
1,39600.0,180.0,1485.0,
1,39600.0,180.0,2475.0,
1,39600.0,180.0,3465.0,
1,39600.0,180.0,4455.0,
1,39600.0,180.0,5445.0,
1,39600.0,180.0,6435.0,
1,39600.0,180.0,7425.0,
1,39600.0,180.0,8415.0,
1,39600.0,180.0,9405.0,
1,39600.0,220.0,495.0,
1,39600.0,220.0,1485.0,
1,39600.0,220.0,2475.0,
1,39600.0,220.0,3465.0,
1,39600.0,220.0,4455.0,
1,39600.0,220.0,5445.0,
1,39600.0,220.0,6435.0,
1,39600.0,220.0,7425.0,
1,39600.0,220.0,8415.0,
1,39600.0,220.0,9405.0,
1,39600.0,260.0,495.0,
1,39600.0,260.0,1485.0,
1,39600.0,260.0,2475.0,
1,39600.0,260.0,3465.0,
1,39600.0,260.0,4455.0,
1,39600.0,260.0,5445.0,
1,39600.0,260.0,6435.0,
1,39600.0,260.0,7425.0,
1,39600.0,260.0,8415.0,
1,39600.0,260.0,9405.0,
1,39600.0,300.0,495.0,
1,39600.0,300.0,1485.0,
1,39600.0,300.0,2475.0,
1,39600.0,300.0,3465.0,
1,39600.0,300.0,4455.0,
1,39600.0,300.0,5445.0,
1,39600.0,300.0,6435.0,
1,39600.0,300.0,7425.0,
1,39600.0,300.0,8415.0,
1,39600.0,300.0,9405.0,
1,39600.0,340.0,495.0,
1,39600.0,340.0,1485.0,
1,39600.0,340.0,2475.0,
1,39600.0,340.0,3465.0,
1,39600.0,340.0,4455.0,
1,39600.0,340.0,5445.0,
1,39600.0,340.0,6435.0,
1,39600.0,340.0,7425.0,
1,39600.0,340.0,8415.0,
1,39600.0,340.0,9405.0,
1,39600.0,380.0,495.0,
1,39600.0,380.0,1485.0,
1,39600.0,380.0,2475.0,
1,39600.0,380.0,3465.0,
1,39600.0,380.0,4455.0,
1,39600.0,380.0,5445.0,
1,39600.0,380.0,6435.0,
1,39600.0,380.0,7425.0,
1,39600.0,380.0,8415.0,
1,39600.0,380.0,9405.0,
2,254.0,20.0,20.0,
2,254.0,380.0,20.0,
2,254.0,20.0,9880.0,
2,254.0,380.0,9880.0,
2,254.0,20.0,120.6,
2,254.0,380.0,120.6,
2,254.0,20.0,221.2,
2,254.0,380.0,221.2,
2,254.0,20.0,321.8,
2,254.0,380.0,321.8,
2,254.0,20.0,422.4,
2,254.0,380.0,422.4,
2,254.0,20.0,523.1,
2,254.0,380.0,523.1,
2,254.0,20.0,623.7,
2,254.0,380.0,623.7,
2,254.0,20.0,724.3,
2,254.0,380.0,724.3,
2,254.0,20.0,824.9,
2,254.0,380.0,824.9,
2,254.0,20.0,925.5,
2,254.0,380.0,925.5,
2,254.0,20.0,1026.1,
2,254.0,380.0,1026.1,
2,254.0,20.0,1126.7,
2,254.0,380.0,1126.7,
2,254.0,20.0,1227.3,
2,254.0,380.0,1227.3,
2,254.0,20.0,1328.0,
2,254.0,380.0,1328.0,
2,254.0,20.0,1428.6,
2,254.0,380.0,1428.6,
2,254.0,20.0,1529.2,
2,254.0,380.0,1529.2,
2,254.0,20.0,1629.8,
2,254.0,380.0,1629.8,
2,254.0,20.0,1730.4,
2,254.0,380.0,1730.4,
2,254.0,20.0,1831.0,
2,254.0,380.0,1831.0,
2,254.0,20.0,1931.6,
2,254.0,380.0,1931.6,
2,254.0,20.0,2032.2,
2,254.0,380.0,2032.2,
2,254.0,20.0,2132.9,
2,254.0,380.0,2132.9,
2,254.0,20.0,2233.5,
2,254.0,380.0,2233.5,
2,254.0,20.0,2334.1,
2,254.0,380.0,2334.1,
2,254.0,20.0,2434.7,
2,254.0,380.0,2434.7,
2,254.0,20.0,2535.3,
2,254.0,380.0,2535.3,
2,254.0,20.0,2635.9,
2,254.0,380.0,2635.9,
2,254.0,20.0,2736.5,
2,254.0,380.0,2736.5,
2,254.0,20.0,2837.1,
2,254.0,380.0,2837.1,
2,254.0,20.0,2937.8,
2,254.0,380.0,2937.8,
2,254.0,20.0,3038.4,
2,254.0,380.0,3038.4,
2,254.0,20.0,3139.0,
2,254.0,380.0,3139.0,
2,254.0,20.0,3239.6,
2,254.0,380.0,3239.6,
2,254.0,20.0,3340.2,
2,254.0,380.0,3340.2,
2,254.0,20.0,3440.8,
2,254.0,380.0,3440.8,
2,254.0,20.0,3541.4,
2,254.0,380.0,3541.4,
2,254.0,20.0,3642.0,
2,254.0,380.0,3642.0,
2,254.0,20.0,3742.7,
2,254.0,380.0,3742.7,
2,254.0,20.0,3843.3,
2,254.0,380.0,3843.3,
2,254.0,20.0,3943.9,
2,254.0,380.0,3943.9,
2,254.0,20.0,4044.5,
2,254.0,380.0,4044.5,
2,254.0,20.0,4145.1,
2,254.0,380.0,4145.1,
2,254.0,20.0,4245.7,
2,254.0,380.0,4245.7,
2,254.0,20.0,4346.3,
2,254.0,380.0,4346.3,
2,254.0,20.0,4446.9,
2,254.0,380.0,4446.9,
2,254.0,20.0,4547.6,
2,254.0,380.0,4547.6,
2,254.0,20.0,4648.2,
2,254.0,380.0,4648.2,
2,254.0,20.0,4748.8,
2,254.0,380.0,4748.8,
2,254.0,20.0,4849.4,
2,254.0,380.0,4849.4,
2,254.0,20.0,4950.0,
2,254.0,380.0,4950.0,
2,254.0,20.0,5050.6,
2,254.0,380.0,5050.6,
2,254.0,20.0,5151.2,
2,254.0,380.0,5151.2,
2,254.0,20.0,5251.8,
2,254.0,380.0,5251.8,
2,254.0,20.0,5352.4,
2,254.0,380.0,5352.4,
2,254.0,20.0,5453.1,
2,254.0,380.0,5453.1,
2,254.0,20.0,5553.7,
2,254.0,380.0,5553.7,
2,254.0,20.0,5654.3,
2,254.0,380.0,5654.3,
2,254.0,20.0,5754.9,
2,254.0,380.0,5754.9,
2,254.0,20.0,5855.5,
2,254.0,380.0,5855.5,
2,254.0,20.0,5956.1,
2,254.0,380.0,5956.1,
2,254.0,20.0,6056.7,
2,254.0,380.0,6056.7,
2,254.0,20.0,6157.3,
2,254.0,380.0,6157.3,
2,254.0,20.0,6258.0,
2,254.0,380.0,6258.0,
2,254.0,20.0,6358.6,
2,254.0,380.0,6358.6,
2,254.0,20.0,6459.2,
2,254.0,380.0,6459.2,
2,254.0,20.0,6559.8,
2,254.0,380.0,6559.8,
2,254.0,20.0,6660.4,
2,254.0,380.0,6660.4,
2,254.0,20.0,6761.0,
2,254.0,380.0,6761.0,
2,254.0,20.0,6861.6,
2,254.0,380.0,6861.6,
2,254.0,20.0,6962.2,
2,254.0,380.0,6962.2,
2,254.0,20.0,7062.9,
2,254.0,380.0,7062.9,
2,254.0,20.0,7163.5,
2,254.0,380.0,7163.5,
2,254.0,20.0,7264.1,
2,254.0,380.0,7264.1,
2,254.0,20.0,7364.7,
2,254.0,380.0,7364.7,
2,254.0,20.0,7465.3,
2,254.0,380.0,7465.3,
2,254.0,20.0,7565.9,
2,254.0,380.0,7565.9,
2,254.0,20.0,7666.5,
2,254.0,380.0,7666.5,
2,254.0,20.0,7767.1,
2,254.0,380.0,7767.1,
2,254.0,20.0,7867.8,
2,254.0,380.0,7867.8,
2,254.0,20.0,7968.4,
2,254.0,380.0,7968.4,
2,254.0,20.0,8069.0,
2,254.0,380.0,8069.0,
2,254.0,20.0,8169.6,
2,254.0,380.0,8169.6,
2,254.0,20.0,8270.2,
2,254.0,380.0,8270.2,
2,254.0,20.0,8370.8,
2,254.0,380.0,8370.8,
2,254.0,20.0,8471.4,
2,254.0,380.0,8471.4,
2,254.0,20.0,8572.0,
2,254.0,380.0,8572.0,
2,254.0,20.0,8672.7,
2,254.0,380.0,8672.7,
2,254.0,20.0,8773.3,
2,254.0,380.0,8773.3,
2,254.0,20.0,8873.9,
2,254.0,380.0,8873.9,
2,254.0,20.0,8974.5,
2,254.0,380.0,8974.5,
2,254.0,20.0,9075.1,
2,254.0,380.0,9075.1,
2,254.0,20.0,9175.7,
2,254.0,380.0,9175.7,
2,254.0,20.0,9276.3,
2,254.0,380.0,9276.3,
2,254.0,20.0,9376.9,
2,254.0,380.0,9376.9,
2,254.0,20.0,9477.6,
2,254.0,380.0,9477.6,
2,254.0,20.0,9578.2,
2,254.0,380.0,9578.2,
2,254.0,20.0,9678.8,
2,254.0,380.0,9678.8,
2,254.0,20.0,9779.4,
2,254.0,380.0,9779.4,
3,9.4,195.7,4948.6,
3,9.4,197.3,4946.4,
3,9.4,199.9,4945.5,
